seed,sample,ranking_score
1,0,1.0049525396628387
1,1,0.9974518846370592
1,2,1.011419221139262
1,3,1.0039704430003145
1,4,1.0025563841394705
2,0,1.0140174036499223
2,1,1.0077427786950872
2,2,1.0098109778807038
2,3,1.0112272086146186
2,4,0.89906875829116
3,0,1.0092081331379816
3,1,1.0086481099946247
3,2,1.0092420942566194
3,3,1.0080012425862048
3,4,1.0069157597020304
4,0,1.0118160608358642
4,1,1.0127600588922963
4,2,1.009666014913819
4,3,1.004942877678407
4,4,0.9975336665888013
5,0,1.0069973530256509
5,1,1.0032374470154966
5,2,1.0073700551388274
5,3,1.0127325384639958
5,4,1.0088369374212245
6,0,0.9966073947640981
6,1,1.002111943901276
6,2,0.9989168935106042
6,3,1.0015450080653372
6,4,1.0000458980051914
7,0,1.001798742699073
7,1,0.9954040189499825
7,2,1.002569111978842
7,3,1.0000936194257322
7,4,1.0018757164245307
8,0,1.0084079140513087
8,1,1.0007334575817985
8,2,1.0128770948164179
8,3,1.0144878443790797
8,4,0.9991392767306579
9,0,1.0021302182719551
9,1,1.0053997308359595
9,2,1.0012812576542118
9,3,0.9957677071552686
9,4,1.0004483506907946
10,0,0.9987942234074334
10,1,1.0048663523026078
10,2,0.9996836329448624
10,3,1.0100946313784287
10,4,1.0082090292673156
